date,JPY,rate,CAD
1/2/2020,$0.01 ,0.01197,$0.00 
1/3/2020,$0.01 ,0.01202,$0.00 
1/6/2020,$0.01 ,0.01198,$0.00 
1/7/2020,$0.01 ,0.01199,$0.00 
1/8/2020,$0.01 ,0.01196,$0.00 
1/9/2020,$0.01 ,0.01195,$0.00 
1/10/2020,$0.01 ,0.01191,$0.00 
1/13/2020,$0.01 ,0.01187,$0.00 
1/14/2020,$0.01 ,0.01187,$0.00 
1/15/2020,$0.01 ,0.01187,$0.00 
1/16/2020,$0.01 ,0.01185,$0.00 
1/17/2020,$0.01 ,0.01186,$0.00 
1/20/2020,$0.01 ,0.01185,$0.00 
1/21/2020,$0.01 ,0.01189,$0.00 
1/22/2020,$0.01 ,0.01193,$0.00 
1/23/2020,$0.01 ,0.01201,$0.00 
1/24/2020,$0.01 ,0.01202,$0.00 
1/27/2020,$0.01 ,0.0121,$0.00 
1/28/2020,$0.01 ,0.01208,$0.00 
1/29/2020,$0.01 ,0.01209,$0.00 
1/30/2020,$0.01 ,0.01215,$0.00 
1/31/2020,$0.01 ,0.01219,$0.00 
2/3/2020,$0.01 ,0.01222,$0.00 
2/4/2020,$0.01 ,0.01214,$0.00 
2/5/2020,$0.01 ,0.01211,$0.00 
2/6/2020,$0.01 ,0.01209,$0.00 
2/7/2020,$0.01 ,0.01212,$0.00 
2/10/2020,$0.01 ,0.01214,$0.00 
2/11/2020,$0.01 ,0.0121,$0.00 
2/12/2020,$0.01 ,0.01205,$0.00 
2/13/2020,$0.01 ,0.01207,$0.00 
2/14/2020,$0.01 ,0.01207,$0.00 
2/18/2020,$0.01 ,0.01207,$0.00 
2/19/2020,$0.01 ,0.01191,$0.00 
2/20/2020,$0.01 ,0.01183,$0.00 
2/21/2020,$0.01 ,0.01184,$0.00 
2/24/2020,$0.01 ,0.01199,$0.00 
2/25/2020,$0.01 ,0.01205,$0.00 
2/26/2020,$0.01 ,0.01205,$0.00 
2/27/2020,$0.01 ,0.01215,$0.00 
2/28/2020,$0.01 ,0.01241,$0.00 
3/2/2020,$0.01 ,0.01239,$0.00 
3/3/2020,$0.01 ,0.01244,$0.00 
3/4/2020,$0.01 ,0.01247,$0.00 
3/5/2020,$0.01 ,0.01259,$0.00 
3/6/2020,$0.01 ,0.01274,$0.00 
3/9/2020,$0.01 ,0.0133,$0.00 
3/10/2020,$0.01 ,0.01315,$0.00 
3/11/2020,$0.01 ,0.01313,$0.00 
3/12/2020,$0.01 ,0.01316,$0.00 
3/13/2020,$0.01 ,0.01294,$0.00 
3/16/2020,$0.01 ,0.01319,$0.00 
3/17/2020,$0.01 ,0.01321,$0.00 
3/18/2020,$0.01 ,0.01342,$0.00 
3/19/2020,$0.01 ,0.01316,$0.00 
3/20/2020,$0.01 ,0.01292,$0.00 
3/23/2020,$0.01 ,0.01305,$0.00 
3/24/2020,$0.01 ,0.01302,$0.00 
3/25/2020,$0.01 ,0.01284,$0.00 
3/26/2020,$0.01 ,0.01285,$0.00 
3/27/2020,$0.01 ,0.01299,$0.00 
3/30/2020,$0.01 ,0.01311,$0.00 
3/31/2020,$0.01 ,0.01314,$0.00 
4/1/2020,$0.01 ,0.01326,$0.00 
4/2/2020,$0.01 ,0.01317,$0.00 
4/3/2020,$0.01 ,0.01304,$0.00 
4/6/2020,$0.01 ,0.01295,$0.00 
4/7/2020,$0.01 ,0.01284,$0.00 
4/8/2020,$0.01 ,0.0129,$0.00 
4/9/2020,$0.01 ,0.01289,$0.00 
4/13/2020,$0.01 ,0.01294,$0.00 
4/14/2020,$0.01 ,0.01297,$0.00 
4/15/2020,$0.01 ,0.0131,$0.00 
4/16/2020,$0.01 ,0.01312,$0.00 
4/17/2020,$0.01 ,0.01305,$0.00 
4/20/2020,$0.01 ,0.01308,$0.00 
4/21/2020,$0.01 ,0.01319,$0.00 
4/22/2020,$0.01 ,0.01313,$0.00 
4/23/2020,$0.01 ,0.01307,$0.00 
4/24/2020,$0.01 ,0.01311,$0.00 
4/27/2020,$0.01 ,0.01311,$0.00 
4/28/2020,$0.01 ,0.01309,$0.00 
4/29/2020,$0.01 ,0.01305,$0.00 
4/30/2020,$0.01 ,0.01301,$0.00 
5/1/2020,$0.01 ,0.01317,$0.00 
5/4/2020,$0.01 ,0.01318,$0.00 
5/5/2020,$0.01 ,0.01317,$0.00 
5/6/2020,$0.01 ,0.01331,$0.00 
5/7/2020,$0.01 ,0.01317,$0.00 
5/8/2020,$0.01 ,0.01307,$0.00 
5/11/2020,$0.01 ,0.01302,$0.00 
5/12/2020,$0.01 ,0.01306,$0.00 
5/13/2020,$0.01 ,0.01315,$0.00 
5/14/2020,$0.01 ,0.01315,$0.00 
5/15/2020,$0.01 ,0.01315,$0.00 
5/19/2020,$0.01 ,0.01288,$0.00 
5/20/2020,$0.01 ,0.01292,$0.00 
5/21/2020,$0.01 ,0.01294,$0.00 
5/22/2020,$0.01 ,0.01303,$0.00 
5/25/2020,$0.01 ,0.01298,$0.00 
5/26/2020,$0.01 ,0.01283,$0.00 
5/27/2020,$0.01 ,0.01279,$0.00 
5/28/2020,$0.01 ,0.01278,$0.00 
5/29/2020,$0.01 ,0.01281,$0.00 
6/1/2020,$0.01 ,0.01266,$0.00 
6/2/2020,$0.01 ,0.01245,$0.00 
6/3/2020,$0.01 ,0.01241,$0.00 
6/4/2020,$0.01 ,0.0124,$0.00 
6/5/2020,$0.01 ,0.01225,$0.00 
6/8/2020,$0.01 ,0.01232,$0.00 
6/9/2020,$0.01 ,0.01245,$0.00 
6/10/2020,$0.01 ,0.01248,$0.00 
6/11/2020,$0.01 ,0.01269,$0.00 
6/12/2020,$0.01 ,0.01266,$0.00 
6/15/2020,$0.01 ,0.01267,$0.00 
6/16/2020,$0.01 ,0.01263,$0.00 
6/17/2020,$0.01 ,0.01264,$0.00 
6/18/2020,$0.01 ,0.01272,$0.00 
6/19/2020,$0.01 ,0.01271,$0.00 
6/22/2020,$0.01 ,0.01267,$0.00 
6/23/2020,$0.01 ,0.0127,$0.00 
6/24/2020,$0.01 ,0.01272,$0.00 
6/25/2020,$0.01 ,0.01273,$0.00 
6/26/2020,$0.01 ,0.01276,$0.00 
6/29/2020,$0.01 ,0.01271,$0.00 
6/30/2020,$0.01 ,0.01264,$0.00 
7/2/2020,$0.01 ,0.01263,$0.00 
7/3/2020,$0.01 ,0.01262,$0.00 
7/6/2020,$0.01 ,0.0126,$0.00 
7/7/2020,$0.01 ,0.01263,$0.00 
7/8/2020,$0.01 ,0.01261,$0.00 
7/9/2020,$0.01 ,0.01264,$0.00 
7/10/2020,$0.01 ,0.01272,$0.00 
7/13/2020,$0.01 ,0.01265,$0.00 
7/14/2020,$0.01 ,0.0127,$0.00 
7/15/2020,$0.01 ,0.01266,$0.00 
7/16/2020,$0.01 ,0.01263,$0.00 
7/17/2020,$0.01 ,0.01268,$0.00 
7/20/2020,$0.01 ,0.01263,$0.00 
7/21/2020,$0.01 ,0.01258,$0.00 
7/22/2020,$0.01 ,0.01252,$0.00 
7/23/2020,$0.01 ,0.01252,$0.00 
7/24/2020,$0.01 ,0.01267,$0.00 
7/27/2020,$0.01 ,0.0127,$0.00 
7/28/2020,$0.01 ,0.01272,$0.00 
7/29/2020,$0.01 ,0.01272,$0.00 
7/30/2020,$0.01 ,0.01279,$0.00 
7/31/2020,$0.01 ,0.01269,$0.00 
8/4/2020,$0.01 ,0.01263,$0.00 
8/5/2020,$0.01 ,0.01257,$0.00 
8/6/2020,$0.01 ,0.0126,$0.00 
8/7/2020,$0.01 ,0.01264,$0.00 
8/10/2020,$0.01 ,0.01261,$0.00 
8/11/2020,$0.01 ,0.01249,$0.00 
8/12/2020,$0.01 ,0.0124,$0.00 
8/13/2020,$0.01 ,0.01236,$0.00 
8/14/2020,$0.01 ,0.01244,$0.00 
8/17/2020,$0.01 ,0.01245,$0.00 
8/18/2020,$0.01 ,0.01249,$0.00 
8/19/2020,$0.01 ,0.01246,$0.00 
8/20/2020,$0.01 ,0.01246,$0.00 
8/21/2020,$0.01 ,0.01247,$0.00 
8/24/2020,$0.01 ,0.01247,$0.00 
8/25/2020,$0.01 ,0.0124,$0.00 
8/26/2020,$0.01 ,0.0124,$0.00 
8/27/2020,$0.01 ,0.01234,$0.00 
8/28/2020,$0.01 ,0.01243,$0.00 
8/31/2020,$0.01 ,0.01231,$0.00 
9/1/2020,$0.01 ,0.01232,$0.00 
9/2/2020,$0.01 ,0.0123,$0.00 
9/3/2020,$0.01 ,0.01236,$0.00 
9/4/2020,$0.01 ,0.01231,$0.00 
9/8/2020,$0.01 ,0.01245,$0.00 
9/9/2020,$0.01 ,0.0124,$0.00 
9/10/2020,$0.01 ,0.0124,$0.00 
9/11/2020,$0.01 ,0.01242,$0.00 
9/14/2020,$0.01 ,0.01246,$0.00 
9/15/2020,$0.01 ,0.0125,$0.00 
9/16/2020,$0.01 ,0.01255,$0.00 
9/17/2020,$0.01 ,0.01261,$0.00 
9/18/2020,$0.01 ,0.01263,$0.00 
9/21/2020,$0.01 ,0.01271,$0.00 
9/22/2020,$0.01 ,0.01269,$0.00 
9/23/2020,$0.01 ,0.01268,$0.00 
9/24/2020,$0.01 ,0.01269,$0.00 
9/25/2020,$0.01 ,0.01269,$0.00 
9/28/2020,$0.01 ,0.01268,$0.00 
9/29/2020,$0.01 ,0.01267,$0.00 
9/30/2020,$0.01 ,0.01264,$0.00 
10/1/2020,$0.01 ,0.01259,$0.00 
10/2/2020,$0.01 ,0.01264,$0.00 
10/5/2020,$0.01 ,0.01256,$0.00 
10/6/2020,$0.01 ,0.01257,$0.00 
10/7/2020,$0.01 ,0.01253,$0.00 
10/8/2020,$0.01 ,0.01247,$0.00 
10/9/2020,$0.01 ,0.01243,$0.00 
10/13/2020,$0.01 ,0.01244,$0.00 
10/14/2020,$0.01 ,0.0125,$0.00 
10/15/2020,$0.01 ,0.01256,$0.00 
10/16/2020,$0.01 ,0.01252,$0.00 
10/19/2020,$0.01 ,0.01249,$0.00 
10/20/2020,$0.01 ,0.01244,$0.00 
10/21/2020,$0.01 ,0.01255,$0.00 
10/22/2020,$0.01 ,0.01254,$0.00 
10/23/2020,$0.01 ,0.01254,$0.00 
10/26/2020,$0.01 ,0.01258,$0.00 
10/27/2020,$0.01 ,0.0126,$0.00 
10/28/2020,$0.01 ,0.01275,$0.00 
10/29/2020,$0.01 ,0.01277,$0.00 
10/30/2020,$0.01 ,0.01273,$0.00 
11/2/2020,$0.01 ,0.01265,$0.00 
11/3/2020,$0.01 ,0.01257,$0.00 
11/4/2020,$0.01 ,0.01258,$0.00 
11/5/2020,$0.01 ,0.01259,$0.00 
11/6/2020,$0.01 ,0.01262,$0.00 
11/9/2020,$0.01 ,0.01231,$0.00 
11/10/2020,$0.01 ,0.01236,$0.00 
11/12/2020,$0.01 ,0.01248,$0.00 
11/13/2020,$0.01 ,0.01256,$0.00 
11/16/2020,$0.01 ,0.01251,$0.00 
11/17/2020,$0.01 ,0.01257,$0.00 
11/18/2020,$0.01 ,0.01258,$0.00 
11/19/2020,$0.01 ,0.01259,$0.00 
11/20/2020,$0.01 ,0.01259,$0.00 
11/23/2020,$0.01 ,0.01255,$0.00 
11/24/2020,$0.01 ,0.01246,$0.00 
11/25/2020,$0.01 ,0.01246,$0.00 
11/26/2020,$0.01 ,0.01248,$0.00 
11/27/2020,$0.01 ,0.01248,$0.00 
11/30/2020,$0.01 ,0.01243,$0.00 
12/1/2020,$0.01 ,0.01241,$0.00 
12/2/2020,$0.01 ,0.01237,$0.00 
12/3/2020,$0.01 ,0.0124,$0.00 
12/4/2020,$0.01 ,0.0123,$0.00 
12/7/2020,$0.01 ,0.01231,$0.00 
12/8/2020,$0.01 ,0.0123,$0.00 
12/9/2020,$0.01 ,0.01228,$0.00 
12/10/2020,$0.01 ,0.01221,$0.00 
12/11/2020,$0.01 ,0.01228,$0.00 
12/14/2020,$0.01 ,0.01227,$0.00 
12/15/2020,$0.01 ,0.01226,$0.00 
12/16/2020,$0.01 ,0.01231,$0.00 
12/17/2020,$0.01 ,0.01234,$0.00 
12/18/2020,$0.01 ,0.01236,$0.00 
12/21/2020,$0.01 ,0.01242,$0.00 
12/22/2020,$0.01 ,0.01246,$0.00 
12/23/2020,$0.01 ,0.01242,$0.00 
12/24/2020,$0.01 ,0.01238,$0.00 
12/29/2020,$0.01 ,0.01236,$0.00 
12/30/2020,$0.01 ,0.01237,$0.00 
12/31/2020,$0.01 ,0.01235,$0.00 
